A,B,C,D,E,F,G,H,TOATAL
20,75,89,138,180,208,110,194,5459
30,82,96,145,187,215,117,201,5714
50,89,103,152,194,222,124,208,5979
60,96,110,159,201,60,131,215,5220
40,103,117,166,208,40,138,222,5283
61,110,124,173,215,61,145,60,4281
68,117,131,180,222,68,152,40,4317
75,124,138,187,60,75,61,61,3150
82,131,145,194,40,82,68,68,3267
89,138,152,201,61,153,75,75,3973
96,145,159,208,68,75,82,82,3715
103,152,166,215,75,82,103,153,4577
110,159,173,222,82,30,110,75,3795
117,166,180,60,153,50,117,82,3769
124,173,187,40,75,60,124,30,3034
131,180,194,61,82,40,131,50,3284
138,187,201,68,30,61,138,60,3349
145,194,208,75,50,103,145,187,4836
152,201,215,82,60,110,152,194,5103
159,208,222,153,40,117,159,201,5476
166,215,60,75,61,124,166,208,4951
173,222,40,82,103,131,173,215,5297
180,60,61,30,110,138,180,222,5017
187,40,68,50,117,145,187,60,3915
194,61,75,60,124,152,194,40,3991
201,68,82,40,131,61,201,61,3659
208,75,153,61,138,68,208,68,4159
215,82,75,68,145,75,215,75,4156
222,153,82,75,152,82,222,82,4536
